"no_mut","old_canton","old_no_district","old_no_muni","old_name_muni","new_canton","new_no_district","new_no_muni","new_name_muni","date"
"3964","ZH","102","21","Adlikon","ZH","102","291","Andelfingen","2023-01-01"
"3964","ZH","102","32","Humlikon","ZH","102","291","Andelfingen","2023-01-01"
"3965","BE","246","536","Diemerswil","BE","246","546","Münchenbuchsee","2023-01-01"
"3966","SG","1727","3372","Hemberg","SG","1727","3396","Neckertal","2023-01-01"
"3966","SG","1727","3375","Oberhelfenschwil","SG","1727","3396","Neckertal","2023-01-01"
"3967","JU","2602","6744","La Chaux-des-Breuleux","JU","2602","6743","Les Breuleux","2023-01-01"
"3968","AG","1905","4133","Burg (AG)","AG","1905","4139","Menziken","2023-01-01"
"3969","AG","1906","4179","Ueken","AG","1906","4186","Herznach-Ueken","2023-01-01"
"3969","AG","1906","4166","Herznach","AG","1906","4186","Herznach-Ueken","2023-01-01"
"3970","JU","2603","6787","Damphreux","JU","2603","6811","Damphreux-Lugnez","2023-01-01"
"3970","JU","2603","6793","Lugnez","JU","2603","6811","Damphreux-Lugnez","2023-01-01"
"3983","BE","247","947","Zwieselberg","BE","247","767","Reutigen","2024-01-01"
"3984","BE","244","993","Wangenried","BE","244","992","Wangen an der Aare","2024-01-01"
"3985","SO","1103","2456","Lüterswil-Gächliwil","SO","1103","2465","Buchegg","2024-01-01"
"3986","JU","2603","6773","Beurnevésin","JU","2603","6812","Basse-Vendline","2024-01-01"
"3986","JU","2603","6775","Bonfol","JU","2603","6812","Basse-Vendline","2024-01-01"
"3987","AG","1902","4042","Turgi","AG","1902","4021","Baden","2024-01-01"
